Publication,Website,Category,Total Score,Priority Tier,RSS Status,RSS Feed URL / Hub,Primary Audience,Core Coverage,Original Data Fit,Syndication Likelihood (1-5),Data-Story Fit (1-5),Why It Matters / Pitch Angle
Senior Housing News,https://seniorhousingnews.com/,Senior living trade,17,Tier 1,Yes,https://seniorhousingnews.com/feed,"Senior living owners, operators, developers, investors, executives","Operations, development, finance, staffing, technology, marketing, memory care",High,4,5,"Top pure-play senior living target; strong appetite for reports, market data and operator implications."
McKnight's Senior Living,https://www.mcknightsseniorliving.com/,Senior living trade,17,Tier 1,Yes,Feed available; exact endpoint not surfaced in search,"Senior living executives, operators, clinical and business leaders","Assisted living, memory care, operations, workforce, regulation, clinical, technology",High,4,5,"One of the highest-value editorial targets for data tied to operations, workforce, regulation or resident trends."
Seniors Housing Business,https://seniorshousingbusiness.com/,Senior housing real estate,17,Tier 1,Not located,,"Owners, developers, operators, lenders, brokers, investors","Transactions, development, capital markets, operations, investment",High,4,5,"Excellent for geographically localized development, affordability, inventory, financing and demand data."
Senior Living News,https://www.seniorlivingnews.com/,Senior living trade,17,Tier 1,Yes,Feed available; exact endpoint not surfaced in search,"Owners, operators, developers, suppliers and executives","Operations, development, technology, design, products, transactions",High,4,4,Good syndication prospect because coverage is broad and trade-oriented.
Senior Living Executive,https://www.argentum.org/argentummedia/senior-living-executive-magazine/,Association publication,15,Tier 2,Not located,,Senior living community leaders and executives,"Workforce, quality, operations, consumer choice, memory care, leadership",High,3,5,Strong credibility and operator reach; association gatekeeping may make free syndication harder.
AHEAD,https://www.argentum.org/argentummedia/ahead/,Association newsletter,14,Tier 2,Not located,,"Owners, operators and senior living executives","Policy, industry trends, workforce, finance, operations",High,3,4,Useful for concise data releases with policy or operating relevance.
Provider Magazine,https://www.providermagazine.com/,Long-term care trade,15,Tier 2,Not located,,"Owners, administrators, clinicians and executives in LTC/post-acute","Nursing facilities, assisted living, workforce, clinical, policy, technology, finance",High,3,5,"Excellent audience; especially strong for Medicaid, staffing, quality, affordability and state-by-state data."
McKnight's Long-Term Care News,https://www.mcknights.com/,Long-term care trade,17,Tier 1,Not located,,"Nursing home/LTC owners, operators, administrators, clinicians","Skilled nursing, regulation, reimbursement, staffing, clinical operations",High,4,5,Major target for nursing-home and long-term-care data stories.
Skilled Nursing News,https://skillednursingnews.com/,Skilled nursing trade,17,Tier 1,Yes,https://skillednursingnews.com/feed,"SNF owners, operators, investors and executives","Operations, finance, reimbursement, staffing, M&A, clinical trends",High,4,5,Strong match for original data with business implications.
iAdvance Senior Care,https://www.iadvanceseniorcare.com/,Senior care trade,16,Tier 2,Yes,Feed available; exact endpoint not surfaced in search,"Senior care executives, administrators, clinical leaders","Operations, workforce, clinical, technology, compliance, resident care",High,4,4,Good secondary trade target; useful for practical operator-focused research.
Home Health Care News,https://homehealthcarenews.com/,Home care/home health trade,17,Tier 1,Yes,https://homehealthcarenews.com/feed,"Home health and home care owners, operators, executives, investors","Home health, personal care, M&A, payment, staffing, technology, policy",High,4,5,"Top target for aging-in-place, caregiving workforce and home-care demand data."
Hospice News,https://hospicenews.com/,Hospice/palliative trade,14,Tier 2,Yes,https://hospicenews.com/feed,"Hospice operators, executives, investors, clinicians","Hospice, palliative care, payment, M&A, workforce, regulation",Medium-High,3,4,"Best for end-of-life, caregiver burden, access and aging-health-system stories."
Home Health Line,https://homehealthline.decisionhealth.com/,Home health trade,12,Tier 3,Not located,,"Home health agency executives, compliance and operations leaders","Regulation, payment, compliance, operations, benchmarks",Medium,2,4,Useful for technical/regulatory datasets; less natural for broad syndication.
